post_id,path,date,time,rubric,status,topic,title,tier,timezone,cultural_zone,factcheck_confidence,visual_status
SW-06.01-09-30-Greeting-ShortbreadDay,2026/01/06/SW-06.01-09-30-Greeting-ShortbreadDay.md,2026-01-06,09:01,"Greeting, Shortbread, Scotland, MaryStuart, Butter, LongRead, LoreSync, HauteCouture",ГОТОВ,GREETING: ДЕНЬ ШОРТБРЕДА. КОРОЛІВСЬКЕ ПЕЧИВО ШОТЛАНДІЇ.,,,Europe/Riga,,,
SW-06.01-10-30-Taste-GaletteDesRois,2026/01/06/SW-06.01-10-30-Taste-GaletteDesRois.md,2026-01-06,10:01,"Taste, GaletteDesRois, France, Epiphany, Frangipane, Feve, Tradition, LongRead, LoreSync, HauteCouture",ГОТОВ,TASTE: GALETTE DES ROIS. ФРАНЦУЗЬКИЙ ПИРІГ З БОБОМ ТА КОРОНОЮ.,,,Europe/Riga,,,
SW-06.01-12-30-Recipe-RichKutia,2026/01/06/SW-06.01-12-30-Recipe-RichKutia.md,2026-01-06,12:01,"Recipe, Kutia, Ukraine, ChristmasEve, Wheat, Honey, PoppySeeds, Symbolism, LongRead, LoreSync, HauteCouture",ГОТОВ,RECIPE: БОГАТАЯ КУТЬЯ. СИМВОЛИЗМ ИНГРЕДИЕНТОВ И РЕЦЕПТ ВЕЧНОСТИ.,,,Europe/Riga,,,
SW-06.01-15-30-History-RosconDeReyes,2026/01/06/SW-06.01-15-30-History-RosconDeReyes.md,2026-01-06,15:01,"History, RosconDeReyes, Spain, Epiphany, Brioche, Tradition, LongRead, LoreSync, HauteCouture",ГОТОВ,HISTORY: РОСКОН ДЕ РЕЙЄС. ІСПАНСЬКИЙ ВІНОК КОРОЛІВ ТА ТАЄМНИЦЯ БОБУ.,,,Europe/Riga,,,
SW-06.01-18-30-Menu-TwelveDishes,2026/01/06/SW-06.01-18-30-Menu-TwelveDishes.md,2026-01-06,18:01,"Menu, TwelveDishes, ChristmasEve, Ukraine, Aesthetics, Varenyky, Holubtsi, LongRead, LoreSync, HauteCouture",ГОТОВ,MENU: 12 ПОСТНЫХ БЛЮД. ВИЗУАЛЬНАЯ ЭСТЕТИКА СВЯТОГО ВЕЧЕРА.,,,Europe/Riga,,,
SW-06.01-21-30-Treat-Uzvar,2026/01/06/SW-06.01-21-30-Treat-Uzvar.md,2026-01-06,21:01,"Treat, Uzvar, DriedFruits, Ukraine, ChristmasEve, Symbolism, LoreSync, HauteCouture",ГОТОВ,TREAT: УЗВАР ТА СУХОФРУКТИ. ЖИВА ВОДА РІЗДВА ТА СЕРЦЕ СВЯТОГО ВЕЧЕРА.,,,Europe/Riga,,,
AC-07.01-08-30-Greeting-ChristmasJulian,2026/01/07/AC-07.01-08-30-Greeting-ChristmasJulian.md,2026-01-07,08:01,"Greeting, Christmas, JulianCalendar, Nativity, History, Light, LongRead, LoreSync, HauteCouture",ГОТОВ,GREETING: РІЗДВО ХРИСТОВЕ. НАРОДЖЕННЯ СВІТЛА ТА МАГІЯ ЮЛІАНСЬКОЇ ТРАДИЦІЇ.,,,Europe/Riga,,,
AC-07.01-10-00-MythOrigin-DivineChild,2026/01/07/AC-07.01-10-00-MythOrigin-DivineChild.md,2026-01-07,10:01,"MythOrigin, DivineChild, Archetype, Jung, Horus, Krishna, Christ, PuerAeternus, LongRead, LoreSync, HauteCouture",ГОТОВ,MYTH ORIGIN: АРХЕТИП БОЖЕСТВЕННОГО МЛАДЕНЦА. СИМВОЛ ВЕЧНОГО ОБНОВЛЕНИЯ.,,,Europe/Riga,,,
AC-07.01-12-00-SacredSense-PaxRomana,2026/01/07/AC-07.01-12-00-SacredSense-PaxRomana.md,2026-01-07,12:01,"SacredSense, PaxRomana, ChristmasTruce, Peace, Augustus, History, LongRead, LoreSync, HauteCouture",ГОТОВ,SACRED SENSE: PAX ROMANA І РІЗДВЯНИЙ МИР. ВІД АВГУСТА ДО РІЗДВЯНОГО ПЕРЕМИР'Я.,,,Europe/Riga,,,
AC-07.01-13-30-Oracle-Runes,2026/01/07/AC-07.01-13-30-Oracle-Runes.md,2026-01-07,13:01,"Oracle, Runes, Odin, Yggdrasil, Futhark, Divination, StoneTexture, LongRead, LoreSync, HauteCouture",ГОТОВ,ORACLE: РУНЫ. МАГИЯ КАМНЯ И ШЕПОТ СЕВЕРНЫХ БОГОВ.,,,Europe/Riga,,,
AC-07.01-15-00-VisualArchetype-NativityIconography,2026/01/07/AC-07.01-15-00-VisualArchetype-NativityIconography.md,2026-01-07,15:01,"VisualArchetype, ArtHistory, Nativity, Iconography, Giotto, Botticelli, LaTour, LongRead, LoreSync, HauteCouture",ГОТОВ,VISUAL ARCHETYPE: ІКОНОГРАФІЯ РІЗДВА. ВІД ЗОЛОТА ВІЗАНТІЇ ДО ТІНЕЙ БАРОКО.,,,Europe/Riga,,,
AC-07.01-16-30-RitualFeast-TableHistory,2026/01/07/AC-07.01-16-30-RitualFeast-TableHistory.md,2026-01-07,16:01,"RitualFeast, Gastronomy, History, Goose, TableSetting, HauteCouture, Hasselblad",ГОТОВ,RITUAL FEAST: ПРАЗДНИЧНЫЙ СТОЛ. ИСТОРИЯ РОСКОШИ И САКРАЛЬНАЯ ГАСТРОНОМИЯ.,,,Europe/Riga,,,
AC-07.01-18-00-ZenPractice-ChristmasChorales,2026/01/07/AC-07.01-18-00-ZenPractice-ChristmasChorales.md,2026-01-07,18:01,"ZenPractice, SacredSound, Chorales, Bach, Handel, Acoustics, Meditation, LongRead, LoreSync, HauteCouture, Leica",ГОТОВ,ZEN PRACTICE: ГАРМОНІЯ ЗВУКУ. РІЗДВЯНІ ХОРАЛИ ТА АРХІТЕКТУРА ТИШІ.,,,Europe/Riga,,,
NB-07.01-09-00-PlanetaryMyth-ThreeKingsSwitzerland,2026/01/07/NB-07.01-09-00-PlanetaryMyth-ThreeKingsSwitzerland.md,2026-01-07,09:01,"PlanetaryMyth, Switzerland, ThreeKings, Dreikönigskuchen, Alps, Traditions, Dictionary, LongRead, LoreSync, HauteCouture, CanonEOSR5",ГОТОВ,PLANETARY MYTH: ШВЕЙЦАРІЯ. КОРОЛІВСЬКИЙ ПИРІГ І ЗОЛОТО ЦЮРИХА.,,,Europe/Riga,,,
NB-07.01-10-30-TasteOfBeing-GaletteDesRois,2026/01/07/NB-07.01-10-30-TasteOfBeing-GaletteDesRois.md,2026-01-07,10:01,"TasteOfBeing, France, GaletteDesRois, Epiphany, Frangipane, Traditions, Dictionary, LongRead, LoreSync, HauteCouture, Leica",ГОТОВ,TASTE OF BEING: ФРАНЦИЯ. ГАЛЕТ ДЕ РУА. ПИРОГ-РУЛЕТКА.,,,Europe/Riga,,,
NB-07.01-12-30-NationCode-FrenchBeret,2026/01/07/NB-07.01-12-30-NationCode-FrenchBeret.md,2026-01-07,12:01,"NationCode, France, Beret, FashionHistory, BohoChic, Stereotypes, Dictionary, LongRead, LoreSync, HauteCouture, FujifilmGFX",ГОТОВ,"NATION CODE: ФРАНЦУЗЬКИЙ БЕРЕТ. МІФ, КЛІШЕ ТА СИМВОЛ БОГЕМИ.",,,Europe/Riga,,,
NB-07.01-14-00-GlobalTrend-ViennaCoffee,2026/01/07/NB-07.01-14-00-GlobalTrend-ViennaCoffee.md,2026-01-07,14:01,"GlobalTrend, Vienna, CoffeeCulture, Melange, Sachertorte, Traditions, Dictionary, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,GLOBAL TREND: ВЕНСКИЙ КОФЕ. МЕЛАНЖ И ФИЛОСОФИЯ КОФЕЙНИ.,,,Europe/Riga,,,
NB-07.01-16-00-BedtimeTale-LittlePrince,2026/01/07/NB-07.01-16-00-BedtimeTale-LittlePrince.md,2026-01-07,16:01,"BedtimeTale, Exupery, LittlePrince, Philosophy, Childhood, Dictionary, LongRead, LoreSync, HauteCouture, Hasselblad",ГОТОВ,BEDTIME TALE: МАЛЕНЬКИЙ ПРИНЦ. ФІЛОСОФІЯ ДЛЯ ДОРОСЛИХ.,,,Europe/Riga,,,
SW-07.01-09-30-Greeting-ChristmasSweet,2026/01/07/SW-07.01-09-30-Greeting-ChristmasSweet.md,2026-01-07,09:01,"Greeting, Christmas, SugarArt, Texture, SensoryExperience, LongRead, LoreSync, HauteCouture, Hasselblad",ГОТОВ,GREETING: С РОЖДЕСТВОМ! СЛАДКАЯ ВЕСТЬ И МАГИЯ САХАРНОГО ИНЕЯ.,,,Europe/Riga,,,
SW-07.01-11-00-SacredSugar-Stollen,2026/01/07/SW-07.01-11-00-SacredSugar-Stollen.md,2026-01-07,11:01,"SacredSugar, Stollen, Christmas, History, ButterLetter, Symbolism, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,"SACRED SUGAR: ШТОЛЕН. ХЛІБ, ЩО СТАВ СИМВОЛОМ.",,,Europe/Riga,,,
SW-07.01-13-00-FlavorHorizon-CinnamonHoney,2026/01/07/SW-07.01-13-00-FlavorHorizon-CinnamonHoney.md,2026-01-07,13:01,"FlavorHorizon, Cinnamon, Honey, SpiceTrade, History, Alchemy, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,FLAVOR HORIZON: КОРИЦА И МЕД. ЗОЛОТО И ОГОНЬ ДРЕВНЕГО МИРА.,,,Europe/Riga,,,
SW-07.01-15-30-SweetRitual-CoffeeFireplace,2026/01/07/SW-07.01-15-30-SweetRitual-CoffeeFireplace.md,2026-01-07,15:01,"SweetRitual, Coffee, Fireplace, Hygge, WinterComfort, Cinnamon, LongRead, LoreSync, HauteCouture, Hasselblad",ГОТОВ,SWEET RITUAL: КАВА БІЛЯ КАМІНА. МАГІЯ ЖИВОГО ВОГНЮ.,,,Europe/Riga,,,
SW-07.01-17-00-VintageBake-ChristmasPudding,2026/01/07/SW-07.01-17-00-VintageBake-ChristmasPudding.md,2026-01-07,17:01,"VintageBake, ChristmasPudding, BritishTradition, Flambe, History, StirUpSunday, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,VINTAGE BAKE: РОЖДЕСТВЕНСКИЙ ПУДИНГ. ТЕАТР ОГНЯ И ВИКТОРИАНСКИЙ ДУХ.,,,Europe/Riga,,,
SW-07.01-18-30-ChocolateDepth-Truffles,2026/01/07/SW-07.01-18-30-ChocolateDepth-Truffles.md,2026-01-07,18:01,"ChocolateDepth, Truffles, Ganache, Escoffier, History, Texture, SensoryExperience, LongRead, LoreSync, HauteCouture, FujifilmGFX",ГОТОВ,CHOCOLATE DEPTH: ТРЮФЕЛІ. ЧОРНИЙ ДІАМАНТ ТА АЛХІМІЯ ГАНАШУ.,,,Europe/Riga,,,
AC-08.01-09-00-HolidayHistory-MothersDay,2026/01/08/AC-08.01-09-00-HolidayHistory-MothersDay.md,2026-01-08,09:01,"HolidayHistory, Theotokos, Motherhood, SacredFeminine, History, LongRead, LoreSync, HauteCouture, Hasselblad",ГОТОВ,HOLIDAY HISTORY: СОБОР ПРЕСВЯТОЙ БОГОРОДИЦЫ. ИСТОКИ МАТЕРИНСКОЙ СИЛЫ.,,,Europe/Riga,,,
AC-08.01-12-00-Legend-FateSpinners,2026/01/08/AC-08.01-12-00-Legend-FateSpinners.md,2026-01-08,12:01,"LegendOfDay, FateSpinners, Moirai, Norns, Makosh, DistaffDay, Symbolism, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,LEGEND OF DAY: БОГИНІ-ПРЯХИ ТА НИТКИ ДОЛІ. АРХІТЕКТУРА БУТТЯ.,,,Europe/Riga,,,
AC-08.01-15-00-SacredSpace-MotherTemples,2026/01/08/AC-08.01-15-00-SacredSpace-MotherTemples.md,2026-01-08,15:01,"SacredSpace, Architecture, NotreDame, HagiaSophia, Guadalupe, Archetype, LongRead, LoreSync, HauteCouture, Leica",ГОТОВ,SACRED SPACE: ХРАМЫ МАТЕРИ МИРА. ГЕОМЕТРИЯ ПРИНЯТИЯ И КАМЕННАЯ НЕЖНОСТЬ.,,,Europe/Riga,,,
AC-08.01-18-00-Symbolism-CrownOfMary,2026/01/08/AC-08.01-18-00-Symbolism-CrownOfMary.md,2026-01-08,18:01,"Symbolism, CrownOfMary, QueenOfHeaven, Iconography, Gold, Stars, LongRead, LoreSync, HauteCouture, Hasselblad",ГОТОВ,SYMBOLISM: КОРОНА МАРІЇ. САКРАЛЬНІ ЗНАКИ ВЛАДИ ТА МИЛОСЕРДЯ.,,,Europe/Riga,,,
AC-08.01-21-00-NightReflection-SacredFeminine,2026/01/08/AC-08.01-21-00-NightReflection-SacredFeminine.md,2026-01-08,21:01,"NightReflection, SacredFeminine, Archetype, Yin, Creation, Silence, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,NIGHT REFLECTION: ЖЕНСКОЕ НАЧАЛО МИРА. МАГИЯ СОЗИДАТЕЛЬНОЙ ТИШИНЫ.,,,Europe/Riga,,,
NB-08.01-09-30-WorldTradition-Gynaecocracy,2026/01/08/NB-08.01-09-30-WorldTradition-Gynaecocracy.md,2026-01-08,09:01,"WorldTradition, Greece, Gynaecocracy, Matriarchy, Traditions, Dictionary, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,WORLD TRADITION: ГРЕЦИЯ. ГИНЕКОКРАТИЯ - ДЕНЬ ВЛАСТИ ЖЕНЩИН.,,,Europe/Riga,,,
NB-08.01-12-30-EthnoEast-BabynyPolissya,2026/01/08/NB-08.01-12-30-EthnoEast-BabynyPolissya.md,2026-01-08,12:01,"EthnoEast, Babyny, Polissya, Midwives, Traditions, BabynaKasha, Dictionary, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,ETHNO EAST: БАБИНИ. ОБРЯДИ ПОЛІССЯ ТА ВШАНУВАННЯ ПОВИТУХ. САКРАЛЬНА ЖІНОЧА ЕКСПЕРТИЗА.,,,Europe/Riga,,,
NB-08.01-15-30-FolkBestiary-Laima,2026/01/08/NB-08.01-15-30-FolkBestiary-Laima.md,2026-01-08,15:01,"FolkBestiary, Laima, BalticMythology, Latvia, Lithuania, Destiny, Folklore, Dictionary, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,FOLK BESTIARY: ЛАЙМА. БОГИНЯ СУДЬБЫ И ПОРОГ ЖИЗНИ. САКРАЛЬНЫЙ БАЛТИЙСКИЙ КОД.,,,Europe/Riga,,,
NB-08.01-18-30-CostumeCode-Namitka,2026/01/08/NB-08.01-18-30-CostumeCode-Namitka.md,2026-01-08,18:01,"CostumeCode, Namitka, Ukraine, Ethnography, Symbolism, Textile, LongRead, LoreSync, HauteCouture, Hasselblad",ГОТОВ,COSTUME CODE: НАМІТКА. БІЛЕ ПОЛОТНО ДОЛІ ТА МАГІЯ ПОКРОВУ.,,,Europe/Riga,,,
NB-08.01-21-30-GlobalView-Weaving,2026/01/08/NB-08.01-21-30-GlobalView-Weaving.md,2026-01-08,21:01,"GlobalView, Weaving, Crafts, Peru, Guatemala, Navajo, Traditions, Dictionary, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,GLOBAL VIEW: ЖЕНСКИЕ РЕМЕСЛА МИРА. ТКАЧЕСТВО КАК МОЛИТВА И ЯЗЫК.,,,Europe/Riga,,,
SW-08.01-08-30-Greeting-MidwivesDay,2026/01/08/SW-08.01-08-30-Greeting-MidwivesDay.md,2026-01-08,08:01,"Greeting, MidwivesDay, Traditions, Honey, Warmth, SensoryExperience, LongRead, LoreSync, HauteCouture, Leica",ГОТОВ,GREETING: СОЛОДКА ВДЯЧНІСТЬ. ДЕНЬ ПОВИТУХ ТА МАГІЯ НАРОДЖЕННЯ.,,,Europe/Riga,,,
SW-08.01-10-30-HolidayTaste-PumpkinCheesecake,2026/01/08/SW-08.01-10-30-HolidayTaste-PumpkinCheesecake.md,2026-01-08,10:01,"HolidayTaste, PumpkinCheesecake, NewYorkStyle, Spices, Texture, Recipe, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,HOLIDAY TASTE: ТЫКВЕННЫЙ ЧИЗКЕЙК. БАРХАТНАЯ ТЕКСТУРА И ПРЯНОЕ ЗОЛОТО.,,,Europe/Riga,,,
SW-08.01-13-30-TraditionRecipe-HoneyGingerbread,2026/01/08/SW-08.01-13-30-TraditionRecipe-HoneyGingerbread.md,2026-01-08,13:01,"TraditionRecipe, Gingerbread, Honey, Spices, MidwivesDay, History, Recipe, LongRead, LoreSync, HauteCouture, Hasselblad",ГОТОВ,TRADITION RECIPE: МЕДОВІ ПРЯНИКИ. СОЛОДКИЙ ОБЕРІГ ДЛЯ ПОРОДІЛЬ.,,,Europe/Riga,,,
SW-08.01-16-30-SweetHistory-Toffee,2026/01/08/SW-08.01-16-30-SweetHistory-Toffee.md,2026-01-08,16:01,"SweetHistory, Toffee, Caramel, England, History, Texture, MaillardReaction, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,SWEET HISTORY: АНГЛИЙСКИЙ ИРИС (TOFFEE). ИСКУССТВО ЖЖЕНОГО САХАРА.,,,Europe/Riga,,,
SW-08.01-19-30-NightTreat-Honeycomb,2026/01/08/SW-08.01-19-30-NightTreat-Honeycomb.md,2026-01-08,19:01,"NightTreat, Honeycomb, CinderToffee, Chemistry, Texture, Recipe, LongRead, LoreSync, HauteCouture, Leica",ГОТОВ,NIGHT TREAT: МЕДОВІ СТІЛЬНИКИ (HONEYCOMB). ХІМІЯ ЦУКРУ ТА ПОВІТРЯ.,,,Europe/Riga,,,
SW-08.01-22-00-SweetRitual-Gluhwein,2026/01/08/SW-08.01-22-00-SweetRitual-Gluhwein.md,2026-01-08,22:01,"SweetRitual, Gluhwein, Cinnamon, WinterWarmth, Recipe, LongRead, LoreSync, HauteCouture, Hasselblad",ГОТОВ,SWEET RITUAL: ГЛИНТВЕЙН С КОРИЦЕЙ. РЕЦЕПТ ЖИДКОГО ДЕСЕРТА.,,,Europe/Riga,,,
AC-09.01-09-00-HolidayHistory-Stephan,2026/01/09/AC-09.01-09-00-HolidayHistory-Stephan.md,2026-01-09,09:01,"HolidayHistory, SaintStephen, Martyrdom, History, Symbolism, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,HOLIDAY HISTORY: ПЕРШОМУЧЕНИК СТЕФАН. ІСТОРІЯ ВІРИ ТА СИМВОЛ КРОВІ.,,,Europe/Riga,,,
AC-09.01-12-00-Legend-AnimalPatrons,2026/01/09/AC-09.01-12-00-Legend-AnimalPatrons.md,2026-01-09,12:01,"LegendOfDay, SaintStephen, PatronSaints, AnimalSpirit, Folklore, History, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,LEGEND OF DAY: СВЯТЫЕ - ПОКРОВИТЕЛИ ЖИВОТНЫХ. ТАЙНАЯ СВЯЗЬ И ПОКРОВ ПРИРОДЫ.,,,Europe/Riga,,,
AC-09.01-15-00-SacredMeaning-Chains,2026/01/09/AC-09.01-15-00-SacredMeaning-Chains.md,2026-01-09,15:01,"SacredMeaning, Chains, SaintPeter, Fetters, Asceticism, Freedom, Symbolism, LongRead, LoreSync, HauteCouture, Leica",ГОТОВ,SACRED MEANING: ВЕРИГИ ТА КАЙДАНИ. СИМВОЛ ВІРИ ЧИ ПОКАРАННЯ?,,,Europe/Riga,,,
AC-09.01-16-30-AlmanacGuide-FaithMovies,2026/01/09/AC-09.01-16-30-AlmanacGuide-FaithMovies.md,2026-01-09,16:01,"AlmanacGuide, Cinema, Faith, Tarkovsky, Bergman, Scorsese, Religion, Philosophy, LongRead, LoreSync, HauteCouture, CanonEOSR5",ГОТОВ,ALMANAC GUIDE: КІНО ПРО СИЛУ ВІРИ. ВІД БЕРГМАНА ДО СКОРСЕЗЕ.,,,Europe/Riga,,,
AC-09.01-18-00-Symbolism-StoneAndCrown,2026/01/09/AC-09.01-18-00-Symbolism-StoneAndCrown.md,2026-01-09,18:01,"Symbolism, Stone, Crown, Stephanos, Martyrdom, Etymology, History, LongRead, LoreSync, HauteCouture, Hasselblad",ГОТОВ,SYMBOLISM: КАМЕНЬ И ВЕНЕЦ. СТЕФАНОС - ИМЯ КАК СУДЬБА.,,,Europe/Riga,,,
AC-09.01-21-00-NightReflection-Sacrifice,2026/01/09/AC-09.01-21-00-NightReflection-Sacrifice.md,2026-01-09,21:01,"NightReflection, Sacrifice, Martyrdom, Values, Philosophy, SaintStephen, Light, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,NIGHT REFLECTION: ЖЕРТОВНІСТЬ. ЦІНА ПЕРЕКОНАНЬ І СВІТЛО В ТЕМРЯВІ.,,,Europe/Riga,,,
NB-09.01-09-30-WorldTradition-BlackNazarene,2026/01/09/NB-09.01-09-30-WorldTradition-BlackNazarene.md,2026-01-09,09:01,"WorldTradition, Philippines, BlackNazarene, Traslacion, Quiapo, Folklore, Dictionary, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,WORLD TRADITION: ФІЛІППІНИ. ХОДА ЧОРНОГО НАЗАРЯНИНА. ОКЕАН ВІРИ ТА КАРНАВАЛ СТРАЖДАНЬ.,,,Europe/Riga,,,
NB-09.01-12-30-EthnoEast-HorseWatering,2026/01/09/NB-09.01-12-30-EthnoEast-HorseWatering.md,2026-01-09,12:01,"EthnoEast, SaintStephen, Horses, Folklore, SilverMagic, Ritual, Dictionary, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,ETHNO EAST: ВОДОПІЙ КОНЕЙ. МАГІЯ СРІБНОЇ ВОДИ ТА КІНСЬКЕ СВЯТО.,,,Europe/Riga,,,
NB-09.01-15-30-FolkBestiary-IndrikBeast,2026/01/09/NB-09.01-15-30-FolkBestiary-IndrikBeast.md,2026-01-09,15:01,"FolkBestiary, IndrikBeast, Unicorn, SlavicMythology, DoveBook, History, Dictionary, LongRead, LoreSync, HauteCouture, PhaseOne",ГОТОВ,FOLK BESTIARY: ИНДРИК-ЗВЕРЬ. ЕДИНОРОГ ПОДЗЕМНОГО ЦАРСТВА.,,,Europe/Riga,,,
