date,post_id,rubric,prompt,path
2026-07-08,AL-08.07-18-02-CHRONOS-After-Kupala-Air,CHRONOS,"Contemporary documentary landscape photo for a seasonal magazine: narrow path through tall early July grass, faint dry dust line, low morning light, tactile close crop, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/08/AL-08.07-18-02-CHRONOS-After-Kupala-Air.md
2026-07-09,AL-09.07-10-04-SOURCE-Sei-Shonagon-Lists,SOURCE,"Contemporary editorial still life for a literary magazine: loose cream paper sheets beside a dark lacquer writing box, a small metal mirror with a softly clouded surface, one folded summer-green textile, clean asymmetrical composition, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/09/AL-09.07-10-04-SOURCE-Sei-Shonagon-Lists.md
2026-07-09,AL-09.07-15-04-PATISSERIE-Fresh-Raspberry-Tart,PATISSERIE,"Contemporary food magazine editorial photo: fresh raspberry tart with a clean crisp sweet pastry shell, pale vanilla cream, intact matte raspberries arranged without excess decoration, one precise slice removed, cool side light, restrained styling, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/09/AL-09.07-15-04-PATISSERIE-Fresh-Raspberry-Tart.md
2026-07-09,AL-09.07-18-02-CHRONOS-Earth-Smell-Needs-Impact,CHRONOS,"Contemporary documentary macro photo for a science magazine: first small water drops striking dry porous soil in a clean flowerpot, darkened wet circles against pale dust, crisp side light, tactile evidence, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/09/AL-09.07-18-02-CHRONOS-Earth-Smell-Needs-Impact.md
2026-07-10,AL-10.07-10-04-DIVINATION-Zodiac-Circle,DIVINATION,"A worn old ephemeris table partly covered by a plain brass circle tool on a dark wooden table, documentary close crop, one side light, tactile paper texture, no text, no zodiac poster, plain natural light, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/10/AL-10.07-10-04-DIVINATION-Zodiac-Circle.md
2026-07-10,AL-10.07-15-04-BREAD-Pao-de-Queijo,BREAD,"Contemporary food magazine close-up of warm pao de queijo cheese bread balls, one torn open showing elastic moist crumb, matte pale golden shells on a dark ceramic plate, soft side light, restrained styling, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/10/AL-10.07-15-04-BREAD-Pao-de-Queijo.md
2026-07-10,AL-10.07-18-02-CHRONOS-Pine-Resin-Heat,CHRONOS,"Contemporary documentary close-up of sun-warmed pine bark with a small bead of amber resin, dry needles and pale dust at the base of the trunk, late afternoon side light, tactile natural texture, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/10/AL-10.07-18-02-CHRONOS-Pine-Resin-Heat.md
2026-07-11,AL-11.07-10-04-LORE-Raven-Steals-Sun,LORE,"Editorial magazine still life for Raven stealing daylight, a glossy black feather beside a small brass sphere on a dark wooden surface, sharp analog flash shadow, one white beam crossing the frame, no bird face, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/11/AL-11.07-10-04-LORE-Raven-Steals-Sun.md
2026-07-11,AL-11.07-15-04-CAKES-Victoria-vs-American-Layer,CAKES,"Modern food editorial close-up of two cake slices side by side, one simple Victoria sponge with thin berry jam line and one taller frosted layer cake with visible cream bands, dark ceramic plates, soft side window light, restrained styling, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/11/AL-11.07-15-04-CAKES-Victoria-vs-American-Layer.md
2026-07-11,AL-11.07-18-02-HERITAGE-Haymaking-Songs,HERITAGE,"Documentary editorial close crop of a worn scythe blade, a sharpening stone and cut summer grass on rough linen, late afternoon side light, traces of field dust, restrained composition, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/11/AL-11.07-18-02-HERITAGE-Haymaking-Songs.md
2026-07-12,AL-12.07-10-04-PROSE-Basho-Hiraizumi,PROSE,"Archival editorial still life of an old travel journal opened beside a pressed blade of summer grass on dark wood, one warm reading lamp, deep shadow, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/12/AL-12.07-10-04-PROSE-Basho-Hiraizumi.md
2026-07-12,AL-12.07-15-04-DRINKS-Mugicha,DRINKS,"Modern food editorial close-up of cold mugicha in a clear glass pitcher and one simple tumbler, roasted barley grains scattered on dark linen, condensation on glass, soft side window light, restrained summer styling, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/12/AL-12.07-15-04-DRINKS-Mugicha.md
2026-07-12,AL-12.07-18-02-CALENDAR-Mid-July-Memory-Map,CALENDAR,"Documentary editorial still life of five calendar cards with no readable text, a small unlit lantern, a folded dark cloth, a plain metal pin and a grey moon-like stone on a matte table, controlled side light, restrained composition, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/12/AL-12.07-18-02-CALENDAR-Mid-July-Memory-Map.md
2026-07-13,AL-13.07-10-04-LORE-Baldr-Mistletoe,LORE,"Editorial magazine still life for Baldr's mistletoe, a small green mistletoe sprig pinned beside a blunt wooden dart on a black studio surface, hard side flash, sharp shadow, one pale gold accent, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/13/AL-13.07-10-04-LORE-Baldr-Mistletoe.md
2026-07-13,AL-13.07-15-04-CAKES-Strawberry-Victoria-Sponge,CAKES,"Modern food editorial close-up of a strawberry Victoria sponge slice, two even sponge layers with a thin red jam line and pale cream, a few fresh strawberries at the edge, dark ceramic plate, soft side window light, visible crumb texture, restrained styling, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/13/AL-13.07-15-04-CAKES-Strawberry-Victoria-Sponge.md
2026-07-13,AL-13.07-18-02-CHRONOS-Light-After-Solstice,CHRONOS,"Atmospheric documentary close crop of late summer evening light cutting across a plain wall and wooden table edge, long soft shadow, warm neutral color, quiet domestic surface, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/13/AL-13.07-18-02-CHRONOS-Light-After-Solstice.md
2026-07-14,AL-14.07-10-04-SOURCE-Chekhov-Steppe,SOURCE,"Contemporary editorial still life for a literary magazine, an old Russian book opened beside dry steppe grass and a small dusted travel notebook on a dark desk, one hard side light, archival texture, no readable text, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/14/AL-14.07-10-04-SOURCE-Chekhov-Steppe.md
2026-07-14,AL-14.07-15-04-PATISSERIE-Tarte-Aux-Abricots,PATISSERIE,"Professional food editorial close-up of a French apricot tart on dark slate, crisp golden pastry edge, almond frangipane visible under glossy baked apricot halves, small brush stroke of apricot glaze, dramatic directional side light, precise texture detail, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/14/AL-14.07-15-04-PATISSERIE-Tarte-Aux-Abricots.md
2026-07-14,AL-14.07-18-02-MODERN-Bastille-Day,MODERN,"Documentary editorial still life of a torn tricolor ribbon, a small brass parade button and a grey stone fragment on a matte dark table, controlled side light, civic ritual evidence photo, no flags waving, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/14/AL-14.07-18-02-MODERN-Bastille-Day.md
2026-07-15,AL-15.07-10-04-OMENS-Cuckoo-Silent,OMENS,"Contemporary documentary magazine photo of an empty midsummer woodland edge after rain, a single bare branch in focus, distant meadow and soft grey sky, quiet field-note atmosphere, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/15/AL-15.07-10-04-OMENS-Cuckoo-Silent.md
2026-07-15,AL-15.07-15-04-FERMENT-Dosa-Batter,FERMENT,"Contemporary food magazine close-up of fermented dosa batter in a clear glass bowl, tiny bubbles on the pale surface, soaked rice and urad dal nearby, steel spoon, warm kitchen counter, precise editorial crop, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/15/AL-15.07-15-04-FERMENT-Dosa-Batter.md
2026-07-15,AL-15.07-18-02-CYCLES-72ko-Lotus-Falcon,CYCLES,"Contemporary editorial still life of a pale lotus bud opening beside dark pond water, one small grey feather on a wet stone, restrained natural light, clean magazine composition, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/15/AL-15.07-18-02-CYCLES-72ko-Lotus-Falcon.md
2026-07-16,AL-16.07-10-04-SOURCE-Platonov-Arthel,SOURCE,"Contemporary literary magazine still life, a worn Russian book opened beside a blank work ledger and a graphite pencil on rough concrete, hard morning side light, archival paper texture, no readable text, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/16/AL-16.07-10-04-SOURCE-Platonov-Arthel.md
2026-07-16,AL-16.07-15-04-CAKES-Black-Forest-Cherry,CAKES,"Contemporary food magazine close-up of a Black Forest cake slice, dark chocolate sponge layers, white whipped cream, sour cherries leaving a clean red line, fine chocolate shavings, cool July window light, precise editorial crop, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/16/AL-16.07-15-04-CAKES-Black-Forest-Cherry.md
2026-07-16,AL-16.07-18-02-CHRONOS-Evening-Light-Loss,CHRONOS,"Contemporary documentary close crop of evening sunlight sliding lower across a plain wall and wooden table edge, long soft shadow, quiet northern summer room, neutral warm color, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/16/AL-16.07-18-02-CHRONOS-Evening-Light-Loss.md
2026-07-17,AL-17.07-09-04-PERSONAE-Maui-Sun,PERSONAE,"Contemporary fashion editorial still life for Māui as culture hero, braided flax rope coiled beside a dark volcanic stone, a polished bone hook shape, harsh sunrise side light, wet black sand surface, one gold accent, no people, no text, no readable text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/17/AL-17.07-09-04-PERSONAE-Maui-Sun.md
2026-07-17,AL-17.07-15-04-FLATBREAD-Chapati,FLATBREAD,"Contemporary documentary food magazine close-up of chapati on a dark iron tawa, brown blistered spots, edge lifting with steam, small bowl of atta flour nearby, tactile kitchen surface, no people faces, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/17/AL-17.07-15-04-FLATBREAD-Chapati.md
2026-07-17,AL-17.07-21-04-CYCLES-72ko-Hawks,CYCLES,"Contemporary editorial still life of a single grey hawk feather on a wet dark stone, shallow pond water reflecting summer light, a closed lotus stem at edge of frame, precise magazine crop, no birds, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/17/AL-17.07-21-04-CYCLES-72ko-Hawks.md
2026-07-18,AL-18.07-09-04-BESTIARY-Dragon-Boundary,BESTIARY,"Contemporary fashion magazine still life for a dragon as boundary creature, dark lacquered scale texture, one bronze claw-like object, shallow black water, a small broken gold cup half submerged, hard side flash, no creature body, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/18/AL-18.07-09-04-BESTIARY-Dragon-Boundary.md
2026-07-18,AL-18.07-15-04-PRESERVE-Salted-Lemons,PRESERVE,"Contemporary food magazine close-up of preserved lemons pressed in a clear glass jar, coarse salt crystals, cloudy golden brine, softened citrus peel against dark stone, sharp kitchen side light, tactile imperfect surface, no hands, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/18/AL-18.07-15-04-PRESERVE-Salted-Lemons.md
2026-07-18,AL-18.07-21-04-FEAST-Mandela-Day-Table,FEAST,"Contemporary documentary magazine still life of a public service table after a community meal, stacked plain bowls, folded paper food parcels, metal ladle, blank tags turned away, warm overhead light, no visible faces, no text, no readable text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/18/AL-18.07-21-04-FEAST-Mandela-Day-Table.md
2026-07-19,AL-19.07-09-04-OBJECTS-Key-Threshold,OBJECTS,"Contemporary editorial still life of an old brass key on dark velvet beside a closed black lacquer box, one red fingerprint-like stain on metal, hard analog flash, sharp shadow, no hands, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/19/AL-19.07-09-04-OBJECTS-Key-Threshold.md
2026-07-19,AL-19.07-15-04-SOUP-Tom-Yum,SOUP,"Contemporary food magazine close-up of clear tom yum broth in a dark ceramic bowl, lemongrass stalks, galangal slices, makrut lime leaves, chili oil droplets on the surface, steam caught in side light, no hands, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/19/AL-19.07-15-04-SOUP-Tom-Yum.md
2026-07-19,AL-19.07-21-04-RITES-Wedding-Anniversary-Materials,RITES,"Contemporary editorial still life of wedding anniversary materials arranged as evidence, folded paper, small wood block, dull silver ring, warm gold thread, dark table, analog flash, precise shadows, no couple, no hands, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/19/AL-19.07-21-04-RITES-Wedding-Anniversary-Materials.md
2026-07-20,AL-20.07-09-04-ETYMON-Moon-Month-Measure,ETYMON,"Contemporary editorial still life of a brushed metal lunar disc beside a mechanical calendar wheel, one engraved measurement line, black stone surface, hard analog side light, precise shadow, no spacecraft, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/20/AL-20.07-09-04-ETYMON-Moon-Month-Measure.md
2026-07-20,AL-20.07-15-04-CONDIMENTS-Toum-Emulsion,CONDIMENTS,"Contemporary food science magazine close-up of bright white toum holding a sharp soft peak in a stainless steel bowl, garlic cloves, a thin broken ribbon of oil at the edge as failure evidence, hard kitchen side light, no hands, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/20/AL-20.07-15-04-CONDIMENTS-Toum-Emulsion.md
2026-07-20,AL-20.07-21-04-MODERN-Apollo-11-2017-UTC,MODERN,"Contemporary documentary magazine still life of a lunar boot sole impression pressed into fine grey dust beside a mission timer frozen at 20:17, brushed aluminum edge, stark directional light, evidence-photo crop, no astronaut, no flag, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/20/AL-20.07-21-04-MODERN-Apollo-11-2017-UTC.md
2026-07-21,AL-21.07-09-04-LORE-Artemis-Absent,LORE,"Contemporary archaeological editorial still life of one heat-cracked white marble temple fragment beside a small silver crescent votive and a field of black ash, sharp red-orange reflected light crossing the stone, cool cobalt background, evidence-table composition, precise material detail, no flames, no ruins panorama, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/21/AL-21.07-09-04-LORE-Artemis-Absent.md
2026-07-21,AL-21.07-15-04-FOODWAYS-Lamington-Drive,FOODWAYS,"Contemporary Australian food editorial overhead of a stainless steel cooling rack filled with precise chocolate-coated lamington cubes, loose white coconut across a vivid green work surface, plain kraft boxes arranged for packing, one pair of metal tongs, crisp midday window light, graphic community-production rhythm, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/21/AL-21.07-15-04-FOODWAYS-Lamington-Drive.md
2026-07-21,AL-21.07-21-04-CALENDAR-State-Birthdays,CALENDAR,"Contemporary editorial evidence table with four distinct state-making objects arranged in a strict grid: a dark ceremonial oath glove, a folded constitutional document with its surface hidden, a broken wax seal, and a polished republic medallion without symbols, white stone surface, alternating warm and cool hard light, restrained red and green accents, high-detail magazine photography, no flags, no people, no text, no logos, shot on 35mm film Kodak Portra 800",02_CONTENT/2026/07/21/AL-21.07-21-04-CALENDAR-State-Birthdays.md
